"Source ID","Favorites","Alias","RA (deg)","Dec (deg)","RA (hh:mm:ss)","Dec (dd:mm:ss)","Redshift","Classification","Groups","Date Saved","Finder","Spectrum?","Peak Magnitude","Latest Magnitude","TNS Name"
"ZTF21aaihala","","","247.56904","-4.2384097","247.56904","-4.2384097","0.019","","[object Object]","","","","","",""
"ZTF21aagsihi","","","181.516813","20.5370014","181.516813","20.5370014","0.0236","","[object Object],[object Object],[object Object]","","","","","",""
