# ztf name	z	ra/dec	isot of max	status
ZTF21aaihala	0.019	16:30:16.5696 -04:14:18.2749	2021-02-21T09:05:23.029	active
ZTF21aagsihi	0.0236	12:06:04.0371 +20:32:13.2612	2021-02-12T21:38:16.722	complete
ZTF21aagqcfs	0.023	11:45:23.592 +20:19:28.0564	2021-02-06T08:05:50.442	complete
ZTF21aafdxca	0.006531	18:04:22.1836 +07:17:00.9737	2021-01-27T00:10:14.439	-
ZTF21aahdqrg	0.022015	11:28:17.0755 -12:53:17.5747	2021-02-13T14:26:00.342	complete
ZTF21aagsypp	0.018201	14:21:13.615 +20:42:54.04	2021-02-05T12:44:14.875	-
ZTF21aagqcnl	0.021515	12:16:34.7443 +33:31:35.6336	2021-02-12T15:04:51.102	complete
ZTF21aagtqug	0.019247	16:43:20.7049 +61:35:41.4218	2021-01-30T05:19:16.518	-
